time,Unpolarized_A_Green,Unpolarized_A_Red,Unpolarized_A_IR,Unpolarized_B_Green,Unpolarized_B_Red,Unpolarized_B_IR,Co-Polarized_Green,Co-Polarized_Red,Co-Polarized_IR,Cross-Polarized_Green,Cross-Polarized_Red,Cross-Polarized_IR,SkinTone,Speed,Depth,Experiment
2025-10-21T20:55:39.957Z,3373,6149,23345,4430,8196,25506,4010,4879,16846,5111,8562,26145,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:39.998Z,3350,6118,23244,4438,8198,25485,4037,4927,17034,5392,9052,27094,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.038Z,3325,6076,23114,4450,8199,25460,4080,4985,17306,5785,9721,28332,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.078Z,3311,6052,23037,4458,8201,25445,4114,5021,17492,6043,10142,29087,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.118Z,3301,6034,22994,4461,8201,25441,4137,5044,17623,6227,10435,29602,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.158Z,3289,6015,22954,4462,8203,25441,4147,5063,17743,6410,10744,30131,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.198Z,3282,6005,22930,4463,8209,25442,4147,5070,17801,6504,10925,30416,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.238Z,3286,6008,22935,4466,8214,25442,4149,5064,17777,6476,10893,30332,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.278Z,3297,6025,22980,4466,8214,25446,4141,5042,17668,6301,10606,29810,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.318Z,3318,6062,23086,4457,8207,25462,4098,4990,17430,5904,9952,28637,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.358Z,3345,6104,23214,4444,8195,25479,4037,4917,17134,5430,9161,27222,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.398Z,3361,6119,23268,4442,8185,25484,4011,4880,16988,5238,8829,26635,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.438Z,3357,6096,23213,4457,8184,25476,4033,4906,17084,5441,9163,27248,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.478Z,3341,6058,23122,4472,8187,25468,4070,4958,17282,5771,9717,28264,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.518Z,3323,6031,23066,4475,8186,25465,4097,4995,17421,5976,10067,28897,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.558Z,3307,6016,23037,4473,8184,25464,4121,5020,17497,6087,10254,29209,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.598Z,3292,6005,22996,4472,8185,25458,4147,5046,17592,6239,10499,29613,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.638Z,3280,6000,22951,4470,8193,25452,4165,5069,17697,6411,10776,30082,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.678Z,3275,6007,22937,4466,8204,25457,4169,5078,17743,6480,10889,30275,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.718Z,3280,6024,22970,4462,8209,25469,4164,5072,17683,6381,10720,29973,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.758Z,3299,6053,23056,4454,8202,25478,4140,5031,17478,6057,10175,29001,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.798Z,3329,6091,23174,4441,8184,25478,4084,4960,17169,5573,9363,27575,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.838Z,3352,6111,23240,4435,8168,25465,4027,4917,16967,5260,8856,26719,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.878Z,3352,6093,23196,4445,8169,25449,4016,4941,17032,5372,9077,27140,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.918Z,3338,6058,23102,4461,8180,25441,4045,4995,17250,5714,9672,28188,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.958Z,3324,6033,23037,4470,8187,25442,4073,5025,17415,5951,10067,28886,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:40.998Z,3314,6021,23015,4470,8186,25445,4085,5025,17475,6012,10152,29081,Fair,Fast,2.5mm,Experiment_1
2025-10-21T20:55:41.038Z,3303,6013,23001,4468,8185,25446,4099,5026,17508,6057,10204,29221,Fair,Fast,2.5mm,Experiment_1
