ts,user_id,device_id,source,x,y,z,time_s
2026-03-13 16:59:44.777000+00:00,0,0,0,-3557,1298,-1655,25.924
2026-03-13 16:59:44.816000+00:00,0,0,0,-3566,1311,-1661,25.963
2026-03-13 16:59:44.855000+00:00,0,0,0,-3564,1308,-1674,26.002
2026-03-13 16:59:44.893000+00:00,0,0,0,-3560,1285,-1682,26.04
2026-03-13 16:59:44.932000+00:00,0,0,0,-3567,1286,-1674,26.079
2026-03-13 16:59:44.971000+00:00,0,0,0,-3570,1283,-1650,26.118
2026-03-13 16:59:45.010000+00:00,0,0,0,-3561,1277,-1654,26.157
2026-03-13 16:59:45.048000+00:00,0,0,0,-3559,1278,-1666,26.195
2026-03-13 16:59:45.087000+00:00,0,0,0,-3566,1289,-1688,26.234
2026-03-13 16:59:45.126000+00:00,0,0,0,-3559,1293,-1680,26.273
2026-03-13 16:59:45.165000+00:00,0,0,0,-3566,1291,-1655,26.312
2026-03-13 16:59:45.203000+00:00,0,0,0,-3570,1295,-1657,26.35
2026-03-13 16:59:45.242000+00:00,0,0,0,-3560,1285,-1666,26.389
2026-03-13 16:59:45.281000+00:00,0,0,0,-3559,1287,-1677,26.428
2026-03-13 16:59:45.319000+00:00,0,0,0,-3557,1316,-1659,26.466
2026-03-13 16:59:45.358000+00:00,0,0,0,-3573,1311,-1659,26.505
2026-03-13 16:59:45.397000+00:00,0,0,0,-3551,1286,-1677,26.544
2026-03-13 16:59:45.435000+00:00,0,0,0,-3576,1273,-1692,26.582
2026-03-13 16:59:45.474000+00:00,0,0,0,-3559,1251,-1678,26.621
2026-03-13 16:59:45.519000+00:00,0,0,0,-3563,1249,-1665,26.666
2026-03-13 16:59:45.551000+00:00,0,0,0,-3565,1269,-1664,26.698
2026-03-13 16:59:45.590000+00:00,0,0,0,-3562,1295,-1680,26.737
2026-03-13 16:59:45.629000+00:00,0,0,0,-3563,1300,-1682,26.776
2026-03-13 16:59:45.668000+00:00,0,0,0,-3570,1298,-1661,26.815
2026-03-13 16:59:45.706000+00:00,0,0,0,-3554,1282,-1657,26.853
2026-03-13 16:59:45.745000+00:00,0,0,0,-3558,1284,-1678,26.892
2026-03-13 16:59:45.784000+00:00,0,0,0,-3567,1280,-1695,26.931
2026-03-13 16:59:45.822000+00:00,0,0,0,-3565,1276,-1683,26.969
2026-03-13 16:59:45.861000+00:00,0,0,0,-3565,1277,-1671,27.008
2026-03-13 16:59:45.900000+00:00,0,0,0,-3574,1283,-1668,27.047
2026-03-13 16:59:45.938000+00:00,0,0,0,-3562,1275,-1669,27.085
2026-03-13 16:59:45.977000+00:00,0,0,0,-3556,1272,-1673,27.124
2026-03-13 16:59:46.016000+00:00,0,0,0,-3565,1275,-1683,27.163
2026-03-13 16:59:46.054000+00:00,0,0,0,-3566,1280,-1686,27.201
2026-03-13 16:59:46.093000+00:00,0,0,0,-3565,1267,-1673,27.24
2026-03-13 16:59:46.132000+00:00,0,0,0,-3567,1264,-1668,27.279
2026-03-13 16:59:46.170000+00:00,0,0,0,-3561,1262,-1678,27.317
2026-03-13 16:59:46.209000+00:00,0,0,0,-3546,1272,-1700,27.356
2026-03-13 16:59:46.248000+00:00,0,0,0,-3564,1276,-1699,27.395
2026-03-13 16:59:46.287000+00:00,0,0,0,-3564,1282,-1680,27.434
2026-03-13 16:59:46.325000+00:00,0,0,0,-3579,1279,-1668,27.472
